Final Event Number	Date & Time Reported	Date and Time Occurred	Log Type	Location	Status	Remarks	AreaName
2016-0008707	6/23/2016  8:43:00 AM	6/23/2016  8:43:00AM	209 A SERVICE	HUPD HQ 1033 MASSACHUSETTS AVE	CLOSED	Officer obtained a copy of a 209A.	Yard Team
2016-0011489	8/27/2016  3:30:00 PM	8/27/2016  3:30:00PM To  4:00:00PM	209 A SERVICE	HUPD HQ 1033-6 MASSACHUSETTS AVE	CLOSED	Officer obtained a copy of a 209A.	Yard Team
2016-0011746	9/3/2016  10:31:00 AM	9/2/2016  6:20:00AM To  7:30:00AM	ANNOYING CALL(S) - SCAM	HUPD HQ 1033-6 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of a phone scam.	Yard Team
2016-0012094	9/11/2016  5:47:00 PM	8/6/2016 To 9/11/2016 6:46:00PM To  5:00:00PM	ANNOYING CALL(S) - SCAM	HUPD HQ 1033-6 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of a phone scam.	Yard Team
2016-0012825	9/28/2016  7:00:00 PM	9/27/2016 To 9/28/2016 1:42:00PM To  1:03:00PM	ANNOYING CALL(S) - SCAM	HUPD HQ 1033-6 MASSACHUSETTS AVE	CLOSED	Officer took a walk in report of a phone scam.	Yard Team
2016-0007901	6/2/2016  9:23:00 AM	5/31/2016 To 6/2/2016 9:58:00AM To  4:24:00AM	ANNOYING CALLS/TEXTS/EMAILS	GORDON HALL 25 SHATTUCK ST	CLOSED	Officer dispatched to take a report of annoying messages left on an individual's phone.	Longwood Team
2016-0008125	6/8/2016  2:20:00 PM	6/7/2016 12:50:00PM To  2:12:00PM	ANNOYING CALLS/TEXTS/EMAILS	WASSERSTEIN HALL 1585 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of annoying emails.	North Yard Team
2016-0008196	6/10/2016  5:14:00 PM	6/9/2016  8:00:00AM To  5:00:00PM	ANNOYING CALLS/TEXTS/EMAILS	LITTAUER KSG 79 JFK ST	CLOSED	Officer dispatched to take a report of an annoying email and phone calls and messages an individual received.	Radcliffe/Quad Team
2016-0008455	6/20/2016  10:28:00 AM	6/19/2016  9:27:00AM To 10:09:00AM	ANNOYING CALLS/TEXTS/EMAILS	"HILLEL, HARVARD 52 MT AUBURN ST"	CLOSED	Officer dispatched to take a report of annoying emails and a voicemail an individual received.	River Team
2016-0008717	6/23/2016  11:55:00 AM	5/19/2016 To 6/23/2016 8:09:00PM To 11:06:00AM	ANNOYING CALLS/TEXTS/EMAILS	ANDOVER HALL 45 FRANCIS AVE	CLOSED	Officer dispatched to take a report of annoying emails two individuals had received.	North Yard Team
2016-0009158	7/6/2016  7:42:00 AM	7/6/2016  7:42:00AM	ANNOYING CALLS/TEXTS/EMAILS	GRISWOLD HALL 1525 MASSACHUSETTS AVE	CLOSED	"Officer dispatched to take a report of annoying emails an individual received.
Update 7/12/16: This case is closed pending any further information."	North Yard Team
2016-0009344	7/6/2016  10:41:00 PM	7/6/2016 10:21:00PM To 11:45:00PM	ANNOYING CALLS/TEXTS/EMAILS	 983 MEMORIAL DR	CLOSED	Officer dispatched to take a report of annoying emails an individual received.	Radcliffe/Quad Team
2016-0009479	7/10/2016  7:25:00 AM	7/10/2016  7:25:00AM	ANNOYING CALLS/TEXTS/EMAILS	MATTHEWS HALL NORTH 9 HARVARD YARD	CLOSED	Officer dispatched to take a report of annoying phone calls an individual received.	Yard Team
2016-0010291	8/1/2016  2:31:00 PM	8/1/2016  2:31:00PM	ANNOYING CALLS/TEXTS/EMAILS	THAYER GATE 51 HARVARD YARD	CLOSED	Officer dispatched to take a report of ongoing annoying phone calls an office has received.	Yard Team
2016-0010804	8/16/2016  1:00:00 PM	8/16/2016  1:00:00PM	ANNOYING CALLS/TEXTS/EMAILS	LYMAN LAB 11 OXFORD ST	CLOSED	Officer dispatched to take a report of annoying emails an individual received.	North Yard Team
2016-0010889	8/18/2016  2:21:00 PM	8/18/2016 10:00:00AM To  2:30:00PM	ANNOYING CALLS/TEXTS/EMAILS	MASSACHUSETTS HALL 11 HARVARD YARD	CLOSED	Officer dispatched to take a report of annoying phone calls an individual received.	Yard Team
2016-0011583	8/30/2016  2:06:00 PM	8/30/2016  7:00:00AM To  1:00:00PM	ANNOYING CALLS/TEXTS/EMAILS	CGIS - SOUTH 1730 CAMBRIDGE ST	CLOSED	Officer dispatched to take a report of annoying voicemails an individual received.	North Yard Team
2016-0011659	9/1/2016  10:22:00 AM	8/24/2016 To 9/1/2016 6:00:00AM To 11:15:00AM	ANNOYING CALLS/TEXTS/EMAILS	"KIRKLAND ST, 40 40 KIRKLAND ST"	CLOSED	Officer dispatched to take a report of annoying emails an individual received.	North Yard Team
2016-0012149	9/13/2016  8:17:00 AM	8/21/2016 To 8/31/2016 9:00:00AM To  9:00:00AM	ANNOYING CALLS/TEXTS/EMAILS	PERKINS HALL 35 OXFORD ST	CLOSED	Officer dispatched to take a report of annoying text messages an individual received.	North Yard Team
