3767,18,Clary St,18 Clary St,POINT (-71.09834404523838 42.37399274527462)
3315,16,Springfield St,16 Springfield St,POINT (-71.10052777922043 42.37418206019869)
524,26,Soden St,26 Soden St,POINT (-71.1084067169726 42.36612768617813)
525,411,Franklin St,411 Franklin St,POINT (-71.10867005053451 42.3667835488906)
559,348,Franklin St,348 Franklin St,POINT (-71.10782808807518 42.366000723454675)
560,466,Green St,466 Green St,POINT (-71.10782557509272 42.36681997107502)
561,332,Franklin St,332 Franklin St,POINT (-71.10742209323338 42.36573243138392)
564,806,Massachusetts Ave,806 Massachusetts Ave,POINT (-71.1062206245549 42.366743767449954)
566,770,Massachusetts Ave,770 Massachusetts Ave,POINT (-71.10586085205192 42.36645369626132)
568,5,Western Ave,5 Western Ave,POINT (-71.10546654193786 42.36530714191783)
573,838,Massachusetts Ave,838 Massachusetts Ave,POINT (-71.10689593340258 42.36720593651219)
574,842,Massachusetts Ave,842 Massachusetts Ave,POINT (-71.10701903463045 42.36729551161952)
1040,101,Western Ave,101 Western Ave,POINT (-71.10758318513001 42.36523689163681)
1174,109,River St,109 River St,POINT (-71.10841188736048 42.36428986213756)
8,29,Kinnaird St,29 Kinnaird St,POINT (-71.10928551405804 42.36540104113263)
470,900,Memorial Dr,900 Memorial Dr,POINT (-71.11432390850322 42.36706942933423)
470,900,Memorial Dr,900 Memorial Dr,POINT (-71.11529496167334 42.366809032496384)
470,900,Memorial Dr,900 Memorial Dr,POINT (-71.11498724329316 42.36623045313204)
470,900,Memorial Dr,900 Memorial Dr,POINT (-71.11546458210213 42.36593654723421)
470,900,Memorial Dr,900 Memorial Dr,POINT (-71.11381567865716 42.36690842836006)
1996,12,Howard St,12 Howard St,POINT (-71.11052479607916 42.36390162503469)
1628,11-A,Jay St,11-A Jay St,POINT (-71.11010920387663 42.36419060269188)
2181,135,Western Ave,135 Western Ave,POINT (-71.10856713816364 42.36506557354032)
2323,13,Pleasant St,13 Pleasant St,POINT (-71.10639574007298 42.365728406934714)
2648,14,Soden St,14 Soden St,POINT (-71.10837264898895 42.36580435651609)
2337,13,Soden St,13 Soden St,POINT (-71.10812243637004 42.36571047588366)
2397,141,Western Ave,141 Western Ave,POINT (-71.10868624051488 42.3650349459296)
2983,15,Pleasant St,15 Pleasant St,POINT (-71.1065536825547 42.36558454133366)
3313,16,Soden St,16 Soden St,POINT (-71.10836252209067 42.365893303657494)
4184,1,Jay Street Pl,1 Jay Street Pl,POINT (-71.10959967479661 42.36542792001638)
4356,208,Western Ave,208 Western Ave,POINT (-71.11041395396961 42.364666329548236)
4495,20,Soden St,20 Soden St,POINT (-71.10839586419621 42.36602169991051)
4898,22,Hancock St,22 Hancock St,POINT (-71.10982886636796 42.36732641138484)
455,40,Granite St,40 Granite St,POINT (-71.11100340990224 42.35503147915497)
569,255,Franklin St,255 Franklin St,POINT (-71.10532156473425 42.364704041106464)
3493,179,Prospect St,179 Prospect St,POINT (-71.10086001097307 42.369834907459776)
3677,183,Prospect St,183 Prospect St,POINT (-71.10080551702558 42.36992000695859)
3898,195,Prospect St,195 Prospect St,POINT (-71.1008335007304 42.37016375209319)
3910,192,Hampshire St,192 Hampshire St,POINT (-71.09994136998627 42.3728464133386)
4003,199,Prospect St,199 Prospect St,POINT (-71.10050234690597 42.370345236276776)
4136,1,Amory Pl,1 Amory Pl,POINT (-71.10205150779548 42.37041356497551)
4297,203,Prospect St,203 Prospect St,POINT (-71.10085790006751 42.37048049796323)
4348,207,Prospect St,207 Prospect St,POINT (-71.10052363648558 42.370543384840666)
4543,212,Hampshire St,212 Hampshire St,POINT (-71.10053265795557 42.37332256753152)
617,280,Harvard St,280 Harvard St,POINT (-71.10420749918902 42.36902690988704)
575,5,Clinton St,5 Clinton St,POINT (-71.106540851114 42.36805544254205)
576,25,Lee St,25 Lee St,POINT (-71.10668637861347 42.36909893069002)
577,831,Massachusetts Ave,831 Massachusetts Ave,POINT (-71.10646142193777 42.36721119472791)
579,2,Clinton St,2 Clinton St,POINT (-71.10646599384685 42.36767934125542)
580,15,Clinton St,15 Clinton St,POINT (-71.10612790796527 42.36856813676589)
582,298,Harvard St,298 Harvard St,POINT (-71.1057269768559 42.36954583864668)
583,11,Inman St,11 Inman St,POINT (-71.10505607372447 42.3672982997891)
585,292,Harvard St,292 Harvard St,POINT (-71.10525691474889 42.36944534445159)
586,15,Inman St,15 Inman St,POINT (-71.10492590260806 42.3674494879958)
615,145,Bishop Allen Dr,145 Bishop Allen Dr,POINT (-71.10413889767044 42.36702732244724)
619,5,Austin Pk,5 Austin Pk,POINT (-71.10381212948472 42.3673303276556)
621,266,Harvard St,266 Harvard St,POINT (-71.10296270359886 42.36833575101114)
622,273,Harvard St,273 Harvard St,POINT (-71.10311049411092 42.368981824814085)
623,99,Prospect St,99 Prospect St,POINT (-71.10249579548395 42.367735514560195)
570,8,Inman St,8 Inman St,POINT (-71.10512470288712 42.3669122323985)
1291,10,St Paul St,10 St Paul St,POINT (-71.1033916503623 42.36768423513788)
1668,11,St Paul St,11 St Paul St,POINT (-71.10323721565051 42.367977987249915)
2002,731,Massachusetts Ave,731 Massachusetts Ave,POINT (-71.10498643557439 42.366345423366845)
2003,12,Inman St,12 Inman St,POINT (-71.10498630213881 42.367054379662385)
2045,12,St Paul St,12 St Paul St,POINT (-71.10362016069882 42.367737926366054)
2644,14,St Paul St,14 St Paul St,POINT (-71.10353495562231 42.36782977342129)
2693,151,Bishop Allen Dr,151 Bishop Allen Dr,POINT (-71.10456442829404 42.36734843019125)
2422,143,Prospect St,143 Prospect St,POINT (-71.10161050961287 42.36876023577727)
2456,145,Prospect St,145 Prospect St,POINT (-71.10184005963096 42.368881548321255)
2480,147,Bishop Allen Dr,147 Bishop Allen Dr,POINT (-71.10438083168566 42.367168660754146)
2492,147,Prospect St,147 Prospect St,POINT (-71.1018689630236 42.3690781133322)
2529,149,Prospect St,149 Prospect St,POINT (-71.10149023354053 42.368930397279314)
2779,332-1,Broadway,332-1 Broadway,POINT (-71.1021792880481 42.36940590357987)
2780,155,Prospect St,155 Prospect St,POINT (-71.10136497347064 42.36904558610554)
2998,15,St Paul St,15 St Paul St,POINT (-71.10316748798705 42.36808218352907)
3308,16,St Paul St,16 St Paul St,POINT (-71.10346798913567 42.36794098092826)
3814,18,Inman St,18 Inman St,POINT (-71.10445683598181 42.3676137788842)
3856,18,St Paul St,18 St Paul St,POINT (-71.10339595088556 42.3680427638146)
4485,20,St Paul St,20 St Paul St,POINT (-71.10332384206617 42.36814143682198)
850,8,Amory St,8 Amory St,POINT (-71.10173446351544 42.369939588869855)
857,2,St Mary Rd,2 St Mary Rd,POINT (-71.10035114031369 42.37067333252447)
1017,103,Amory St,103 Amory St,POINT (-71.10063457225345 42.37178606820411)
1146,108-A,Inman St,108-A Inman St,POINT (-71.10096033209042 42.372259945031615)
1290,10,St Mary Rd,10 St Mary Rd,POINT (-71.10060318732761 42.37079006664905)
1374,112,Inman St,112 Inman St,POINT (-71.10096154621519 42.37249645426852)
1472,116,Amory St,116 Amory St,POINT (-71.10025170359935 42.37195419009103)
1525,118,Inman St,118 Inman St,POINT (-71.10066542171072 42.37276319317691)
1541,119,Amory St,119 Amory St,POINT (-71.1004111228371 42.372094559255046)
1849,126,Inman St,126 Inman St,POINT (-71.10049988356677 42.37298357726459)
1866,127,Amory St,127 Amory St,POINT (-71.10037547942892 42.37220080958639)
2122,131,Amory St,131 Amory St,POINT (-71.10027525475607 42.3722860650173)
2166,135,Amory St,135 Amory St,POINT (-71.10022653821868 42.372334512945706)
2643,14,St Mary Rd,14 St Mary Rd,POINT (-71.10073443288012 42.370839523942536)
3433,175,Prospect St,175 Prospect St,POINT (-71.10103263871028 42.369790395709195)
3492,177,Prospect St,177 Prospect St,POINT (-71.10112362484557 42.36996856277522)
830,295,Harvard St,295 Harvard St,POINT (-71.10527573632456 42.36977516127639)
831,12,Maple Ave,12 Maple Ave,POINT (-71.10491012691342 42.37198535527263)
846,344,Broadway,344 Broadway,POINT (-71.1033823529841 42.37008157336549)
854,1418,Cambridge St,1418 Cambridge St,POINT (-71.10177070637148 42.373626737098306)
855,240,Hampshire St,240 Hampshire St,POINT (-71.10156690631847 42.37417226866438)
961,101,Antrim St,101 Antrim St,POINT (-71.10218205557766 42.37269809988407)
969,101,Inman St,101 Inman St,POINT (-71.10172396668271 42.37200932678128)
996,106,Hancock St,106 Hancock St,POINT (-71.10772918498566 42.36908965632687)
1028,103,Inman St,103 Inman St,POINT (-71.10161556584961 42.372181682908064)
1117,107,Inman St,107 Inman St,POINT (-71.10154475617611 42.37234141119896)
1168,107-1/2,Inman St,107-1/2 Inman St,POINT (-71.10155767499371 42.372417293302554)
1169,109,Inman St,109 Inman St,POINT (-71.1014209149624 42.37245928058347)
1190,10,Arnold Cir,10 Arnold Cir,POINT (-71.10795570533772 42.36863726606422)
1213,10,Clinton St,10 Clinton St,POINT (-71.10609954625588 42.36820121084839)
1229,10,Fayette St,10 Fayette St,POINT (-71.1040517509764 42.37142536024711)
1326,110,Hancock St,110 Hancock St,POINT (-71.10758511526588 42.36918391010605)
1406,113,Inman St,113 Inman St,POINT (-71.1012250532623 42.37274782389309)
1478,116,Hancock St,116 Hancock St,POINT (-71.10748414215415 42.369359830764)
1506,117,Inman St,117 Inman St,POINT (-71.1011444144544 42.37286714454581)
1518,118,Antrim St,118 Antrim St,POINT (-71.10173036537253 42.37292495012959)
1542,119,Antrim St,119 Antrim St,POINT (-71.10187564325145 42.37308166785047)
1551,121,Inman St,121 Inman St,POINT (-71.10105569302375 42.37299603865318)
1769,122,Hancock St,122 Hancock St,POINT (-71.10735379069821 42.36947676244895)
1791,123,Inman St,123 Inman St,POINT (-71.10098461842075 42.37308942632577)
1821,125,Antrim St,125 Antrim St,POINT (-71.1019133833563 42.37319965302153)
1933,12,Antrim St,12 Antrim St,POINT (-71.10341992609801 42.3706999751397)
1935,12,Arnold Cir,12 Arnold Cir,POINT (-71.10779476509725 42.368466011472684)
1941,12,Bigelow St,12 Bigelow St,POINT (-71.10533493617352 42.36789084052949)
1952,12,Clinton St,12 Clinton St,POINT (-71.10600983657301 42.368286004053004)
1968,12,Fainwood Cir,12 Fainwood Cir,POINT (-71.10332472900927 42.37345716297402)
1973,12,Fayette St,12 Fayette St,POINT (-71.10390196883561 42.371588638042866)
2009,12,Lee St,12 Lee St,POINT (-71.1071743948816 42.3682029510525)
2174,135,Inman St,135 Inman St,POINT (-71.10087220748439 42.373211680433805)
2265,13,Bigelow St,13 Bigelow St,POINT (-71.10563595152937 42.36785608929626)
2271,13,Clinton St,13 Clinton St,POINT (-71.10618737604243 42.36846803410555)
2609,14,Lee St,14 Lee St,POINT (-71.10706027520303 42.368270191652115)
2398,1426,Cambridge St,1426 Cambridge St,POINT (-71.10200982179492 42.37376515613083)
2413,1431-A,Cambridge St,1431-A Cambridge St,POINT (-71.10225294285165 42.37418212594221)
2542,14,Bigelow St,14 Bigelow St,POINT (-71.10521900860084 42.36798997655358)
2872,15,Bigelow St,15 Bigelow St,POINT (-71.10551450023284 42.36800004363546)
3557,17,Inman St,17 Inman St,POINT (-71.10480979466475 42.367602974186454)
3189,16,Antrim St,16 Antrim St,POINT (-71.10325969121071 42.37072320183898)
3197,16,Bigelow St,16 Bigelow St,POINT (-71.10513524593104 42.368079403461294)
3220,16,Clinton St,16 Clinton St,POINT (-71.10586609378589 42.36844944290972)
3228,16,Fainwood Cir,16 Fainwood Cir,POINT (-71.10331342125818 42.373267105268674)
3234,16,Fayette St,16 Fayette St,POINT (-71.10365047229276 42.37183963205204)
3265,16,Lee St,16 Lee St,POINT (-71.10693316678423 42.36844182184259)
3503,17-A,Bigelow St,17-A Bigelow St,POINT (-71.10538086909527 42.36815291840753)
3518,17-1/2,Clinton St,17-1/2 Clinton St,POINT (-71.10605495211452 42.36871996685336)
3519,17,Clinton St,17 Clinton St,POINT (-71.10592868722287 42.36869034436573)
3532,17,Fayette St,17 Fayette St,POINT (-71.10404804039293 42.37189142802442)
3752,18,Bigelow St,18 Bigelow St,POINT (-71.10504974899531 42.36817024680448)
3768,18,Clinton St,18 Clinton St,POINT (-71.10569365972916 42.36862936740319)
3782,18,Fainwood Cir,18 Fainwood Cir,POINT (-71.1033933901923 42.37316729359306)
3784,18,Fayette St,18 Fayette St,POINT (-71.10352642427736 42.371980042536336)
4018,19,Bigelow St,19 Bigelow St,POINT (-71.10523080322635 42.368283890272025)
4034,19,Clinton St,19 Clinton St,POINT (-71.10583243299807 42.36876068161755)
4078,19,Inman St,19 Inman St,POINT (-71.10467958870186 42.36772108186657)
4155,1,Corliss Pl,1 Corliss Pl,POINT (-71.10361395132557 42.37119372051743)
4410,20,Fainwood Cir,20 Fainwood Cir,POINT (-71.10348387278279 42.37306739926371)
4415,20,Fayette St,20 Fayette St,POINT (-71.10346562012803 42.37207147571377)
4453,20,Maple Ave,20 Maple Ave,POINT (-71.10463496066107 42.37232161896349)
4647,21,Clinton St,21 Clinton St,POINT (-71.1057583522965 42.368864544918466)
4661,21,Fainwood Cir,21 Fainwood Cir,POINT (-71.10338703468081 42.37291801328031)
4690,21-A,Lee St,21-A Lee St,POINT (-71.10727355488204 42.36890606376334)
4872,20,Clinton St,20 Clinton St,POINT (-71.10557766952952 42.36874795964335)
4888,22,Fayette St,22 Fayette St,POINT (-71.10339119235869 42.37216245405705)
2635,14,Reservoir St,14 Reservoir St,POINT (-71.1367873329929 42.37839993404684)
5263,24,Clary St,24 Clary St,POINT (-71.09863422198394 42.373947261957525)
5720,26,Oak St,26 Oak St,POINT (-71.09954285238805 42.37434319884268)
