Date Reported	Time Reported	Incident Type	Date Occurred	Time Occurred	Location	Disposition	Description
10/15/2016	12:54AM	DISTRUBANCE	10/15/2016	12:54AM	34 Second St	CLOSED	Description0
11/27/2016	12:50AM	NOISE COMPLAINT	11/27/2016	12:50AM	110 First St	OPEN	Description1
11/22/2016	7:59AM	NOISE COMPLAINT	11/22/2016	7:59AM	44 William St	CLOSED	Description2
12/12/2016	5:21PM	DISTRUBANCE	12/12/2016	5:21PM	35 Fresh Pond Ln	OPEN	Description3
9/17/2016	12:25PM	DISTRUBANCE	9/17/2016	12:25PM	16 Upton St	CLOSED	Description4
10/26/2016	8:14AM	THEFT	10/26/2016	8:14AM	40 Arlington St	CLOSED	Description5
10/15/2016	6:36PM	UNWANTED GUEST	10/15/2016	6:36PM	12 Porter Rd	CLOSED	Description6
9/23/2016	6:56AM	NOISE COMPLAINT	9/23/2016	6:56AM	201 Franklin St	CLOSED	Description7
12/4/2016	11:04AM	NOISE COMPLAINT	12/4/2016	11:04AM	24-A Lowell St	CLOSED	Description8
11/20/2016	10:43AM	REMOVE GROUP	11/20/2016	10:43AM	14 Remington St	CLOSED	Description9
10/14/2016	11:55AM	THEFT	10/14/2016	11:55AM	38 Eighth St	CLOSED	Description10
12/9/2016	4:14PM	NOISE COMPLAINT	12/9/2016	4:14PM	108 Kinnaird St	OPEN	Description11
12/24/2016	10:37AM	THEFT	12/24/2016	10:37AM	89 Park Ave	CLOSED	Description12
11/8/2016	3:45PM	DISTRUBANCE	11/8/2016	3:45PM	19 Peabody Ter	OPEN	Description13
11/27/2016	10:14PM	FIRE	11/27/2016	10:14PM	185 Hancock St	OPEN	Description14
10/18/2016	6:05PM	DISTRUBANCE	10/18/2016	6:05PM	6 King Pl	CLOSED	Description15
12/5/2016	4:48PM	FIRE	12/5/2016	4:48PM	149 Prospect St	CLOSED	Description16
11/24/2016	3:22PM	DISTRUBANCE	11/24/2016	3:22PM	39-1/2 Kinnaird St	OPEN	Description17
11/30/2016	3:53AM	DEMONSTRATION	11/30/2016	3:53AM	13 Landsdowne St	CLOSED	Description18
12/13/2016	11:44AM	DISTRUBANCE	12/13/2016	11:44AM	29 Kinnaird St	CLOSED	Description19
10/7/2016	5:23AM	THEFT	10/7/2016	5:23AM	61 Mooney St	CLOSED	Description20
11/14/2016	12:12AM	REMOVE GROUP	11/14/2016	12:12AM	45 Granville Rd	CLOSED	Description21
10/20/2016	4:48AM	REMOVE GROUP	10/20/2016	4:48AM	89 Clay St	CLOSED	Description22
9/14/2016	1:26AM	NOISE COMPLAINT	9/14/2016	1:26AM	8 Watson St	CLOSED	Description23
11/15/2016	11:55AM	NOISE COMPLAINT	11/15/2016	11:55AM	47 Moulton St	CLOSED	Description24
9/17/2016	1:44AM	DISTRUBANCE	9/17/2016	1:44AM	136 Webster Ave	CLOSED	Description25
9/7/2016	5:22PM	NOISE COMPLAINT	9/7/2016	5:22PM	28 Gorham St	OPEN	Description26
9/3/2016	6:30PM	TREPASS WARNING	9/3/2016	6:30PM	134 Thorndike St	CLOSED	Description27
12/8/2016	8:21PM	NOISE COMPLAINT	12/8/2016	8:21PM	17 Griswold St	OPEN	Description28
12/30/2016	12:31PM	DISTRUBANCE	12/30/2016	12:31PM	5 Eustis St	CLOSED	Description29
11/10/2016	9:37AM	UNWANTED GUEST	11/10/2016	9:37AM	428 Franklin St	CLOSED	Description30
10/6/2016	7:34AM	DISTRUBANCE	10/6/2016	7:34AM	43 Winslow St	CLOSED	Description31
12/1/2016	10:43PM	DISTRUBANCE	12/1/2016	10:43PM	41 Aberdeen Ave	OPEN	Description32
9/14/2016	12:02PM	DISTRUBANCE	9/14/2016	12:02PM	104 Pearl St	CLOSED	Description33
9/8/2016	4:05AM	FIRE	9/8/2016	4:05AM	5 Soden St	CLOSED	Description34
10/23/2016	7:19PM	THEFT	10/23/2016	7:19PM	61 Kinnaird St	OPEN	Description35
12/8/2016	7:42PM	NOISE COMPLAINT	12/8/2016	7:42PM	181 Spring St	CLOSED	Description36
9/6/2016	5:12PM	TREPASS WARNING	9/6/2016	5:12PM	734 Cambridge St	CLOSED	Description37
10/30/2016	8:42AM	DISTRUBANCE	10/30/2016	8:42AM	6 Worcester St	CLOSED	Description38
12/23/2016	5:24AM	DEMONSTRATION	12/23/2016	5:24AM	16 Traymore St	OPEN	Description39
11/19/2016	8:55PM	FIRE	11/19/2016	8:55PM	5 Glenn Ter	CLOSED	Description40
11/20/2016	8:56AM	NOISE COMPLAINT	11/20/2016	8:56AM	571 Massachusetts Ave	CLOSED	Description41
